お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
HydrogenBottle,Block Device,Hydrogen Bottle,水素ボトル,
LandinggearBlocksCV,Block Device,Landinggear Blocks,ランディングギア・ブロック,
LandinggearBlocksHeavySV,Block Device,Landinggear Blocks (T2),ランディングギア・ブロック(T2),
LandinggearBlocksSV,Block Device,Landinggear Blocks (T1),ランディングギア・ブロック(T1),
LandinggearDouble,Block Device,Heavy Landing Gear 1,ヘビーランディングギア1,
LandinggearDoubleCV,Block Device,Heavy Landing Gear 1,ヘビーランディングギア1,
LandinggearDoubleShort,Block Device,Heavy Landing Gear 2,ヘビーランディングギア2,
LandinggearDoubleShortCV,Block Device,Heavy Landing Gear 2,ヘビーランディングギア2,
LandinggearHeavySV,Block Device,Heavy Landing Gear 3,ヘビーランディングギア3,
LandinggearMSHeavy,Block Device,Heavy Landing Gear 3,ヘビーランディングギア3,
LandinggearMSLight,Block Device,Landing Gear 1,ランディング･ギア1,
LandinggearShort,Block Device,Docking Pad,ドッキング・パッド,
LandinggearSingle,Block Device,Landing Gear 2,ランディングギア2,
LandinggearSingleCV,Block Device,Landing Gear 2,ランディングギア2,
LandinggearSingleShort,Block Device,Landing Gear 3,ランディングギア3,
LandinggearSingleShortCV,Block Device,Landing Gear 3,ランディングギア3,
LandinggearSV,Block Device,Landing Gear 1,ランディングギア1,
LCDFrame1x1,Block Device,LCD 1x1 (Frame),LCD 1x1(Frame),
LCDFrame1x2,Block Device,LCD 1x2 (Frame),LCD 1x2(Frame),
LCDNoFrame02x05,Block Device,LCD 0.2x0.5 (No Frame),LCD 0.2x0.5( (No Frame)),
LCDNoFrame02x1,Block Device,LCD 0.2x1 (No Frame),LCD 0.2x1( (No Frame)),
LCDNoFrame05x05,Block Device,LCD 0.5x0.5 (No Frame),LCD 0.5x0.5( (No Frame)),
LCDNoFrame05x1,Block Device,LCD 0.5x1 (No Frame),LCD 0.5x1( (No Frame)),
LCDNoFrame1x1,Block Device,LCD 1x1 (No Frame),LCD 1x1( (No Frame)),
LCDNoFrame1x2,Block Device,LCD 1x2 (No Frame),LCD 1x2( (No Frame)),
LCDScreenBlocks,Block Device,LCD Screen Blocks,LCDスクリーンブロック,
Lever,Block Device,Lever,レバー,
LightBarrier,Block Device,Light Barrier,ライト・バリア,
LightInterior01,Block Device,Light 5,インテリア・ライト1,
LightInterior02,Block Device,Light 6,インテリア・ライト2,
LightLantern,Block Device,Light (Lantern),ライト (Lantern),
LightLargeBlocks,Block Device,Light Blocks,ライト・ブロック,
LightMS01,Block Device,Light 1,ライト1,
LightMS01Corner,Block Device,Light 1 (Corner),ライト1(コーナ),
LightMS01Offset,Block Device,Light 1 (not centered),ライト1,
LightMS02,Block Device,Light 2,ライト2,
LightMS03,Block Device,Light 3,ライト3,
LightMS04,Block Device,Light 4,ライト4,
LightPlant01,Block Device,Plant Grow Light,栽培用ライト,
LightSS01,Block Device,Light,ライト,
LightWork,Block Device,Portable Work Light 1,照明１,
LightWork02,Block Device,Portable Work Light 2,照明２,
MedicinelabMS,Block Device,Medic Station,メディカル・ステーション,
MotionSensor,Block Device,Motion Sensor,モーションセンサー,
OfflineProtector,Block Device,Offline Protection,オフライン・プロテクション,
OxygenBottleLarge,Block Device,O2 Bottle,酸素ボトル,
OxygenBottleSmall,Block Device,Small O2 Bottle,小型酸素ボトル,
OxygenGenerator,Block Device,Oxygen Generator,酸素生成装置,
OxygenGeneratorSmall,Block Device,Emergency O2 Generator,緊急酸素発生器,
OxygenHydrogenGenerator,Block Device,Hydrogen Generator,水素発生器,
OxygenStation,Block Device,O2 Station,酸素ステーション,
OxygenStationSS,Block Device,O2 Station,酸素ステーション,
OxygenStationSV,Block Device,O2 Station,酸素ステーション,
OxygenTankEscapePod,Block Device,O2 Tank,酸素タンク,
OxygenTankMS,Block Device,Large O2 Tank,大型酸素タンク,
OxygenTankSmallMS,Block Device,Small O2 Tank,小型酸素タンク,
OxygenTankSV,Block Device,O2 Tank,酸素タンク,
PassengerSeat2SV,Block Device,Passenger Seat (open),搭乗席(Open),
PassengerSeatMS,Block Device,Passenger Seat,搭乗席,
PassengerSeatSS_Cube,Block Device,Passenger Seat,搭乗席・キューブ,
PassengerSeatSS_Slope,Block Device,Passenger Seat,搭乗席・スロープ,
PassengerSeatSV,Block Device,Passenger Seat (closed),搭乗席(Close),
PlayerBike,Block Device,Motorbike,モーターバイク,
PlayerBikeFolded,Block Device,Motorbike (energy-save mode),セーフモード,
PlayerBikeKit,Block Device,Motorbike Construction Kit,バイク組み立てセット,
PlayerSpawner,Block Device,Player Spawner (Pad),プレイヤー・スポナー(パッド),
PlayerSpawnerBlock,Block Device,Player Spawner (Block),プレイヤー・スポナー(ブロック),
PlayerSpawnerPlate,Block Device,Player Spawner (Plate),プレイヤー・スポナー(プレート),
PlayerSpawnerPlateThin,Block Device,Player Spawner (Thin Plate),プレイヤー・スポナー(薄型プレート),
Portal,Block Device,Portal,ポータル,
Ramp1x1x1,Block Device,Ramp (1x1x1),ランプ1x1x1,
Ramp1x2x1,Block Device,Ramp (1x2x1),ランプ1x2x1,
Ramp1x3x1,Block Device,Ramp (1x3x1),ランプ1x3x1,
Ramp1x4x2,Block Device,Ramp (1x4x2),ランプ1x4x2,
Ramp3x1x1,Block Device,Ramp (3x1x1),ランプ3x1x1,
Ramp3x2x1,Block Device,Ramp (3x2x1),ランプ3x2x1,
Ramp3x3x1,Block Device,Ramp (3x3x1),ランプ3x3x1,
Ramp3x4x2,Block Device,Ramp (3x4x2),ランプ3x4x2,
Ramp3x5x3,Block Device,Ramp (3x5x3),ランプ3x5x3,
RampBlocks,Block Device,Ramp Blocks,ランプ・ブロック,
RCSBlockEscapePod,Block Device,RCS (damaged),RCS(破損),
RCSBlockGV,Block Device,RCS,RCS,
RCSBlockMS,Block Device,RCS,RCS,
RCSBlockMS_T2,Block Device,RCS (T2),RCS(T2),
RCSBlockSV,Block Device,RCS,RCS,
RepairBayBA,Block Device,Repair Bay,リペアベイ,
RepairBayCV,Block Device,Repair Bay,リペアベイ,
RepairStation,Block Device,Repair Station,リペアー・ステーション,
Schubdüse Jet (1x3x1),Block Device,Thruster Jet (1x3x1),スラスタージェット(1x3x1),
SensorTriggerBlocks,Block Device,Sensor and Signal Blocks,センサー・ブロック,
ShutterDoor1x1,Block Device,Shutter Door (1x1),シャッター(1x1),
ShutterDoor1x1SV,Block Device,Shutter Door (1x1),シャッター(1x1),
ShutterDoor1x2,Block Device,Shutter Door (1x2),シャッター(1x2),
ShutterDoor2x2,Block Device,Shutter Door (2x2),シャッター(2x2),
ShutterDoor2x2SV,Block Device,Shutter Door (2x2),シャッター(2x2),
ShutterDoor2x3,Block Device,Shutter Door (2x3),シャッター(2×3),
ShutterDoor3x3,Block Device,Shutter Door (3x3),シャッター(3x3),
ShutterDoor3x3SV,Block Device,Shutter Door (3x3),シャッター(3x3),
ShutterDoor3x4SV,Block Device,Shutter Door (3x4),シャッター(3x4),
ShutterDoor4x4,Block Device,Shutter Door (4x4),シャッター(4x4),
ShutterDoor5x5,Block Device,Shutter Door (5x5),シャッター(5×5),
ShutterDoorBlocks,Block Device,Shutter Doors,シャッター,
ShutterDoorBlocksSV,Block Device,Shutter Doors,シャッター,
SpotlightBlocks,Block Device,Spotlight Blocks,スポットライトブロック,
SpotlightSlope,Block Device,Spotlight Slope,スポットライトスロープ,
SpotlightSlopeHorizontal,Block Device,Spotlight Slope - Horizontal,スポットライトスロープ（水平投射）,
SpotlightSSCube,Block Device,Spotlight Cube,スポットライト（Cube）,
Stone,Block Device,Stone,石,
ThrusterGVDirectional,Block Device,Thruster S,スラスタGV,
ThrusterGVRoundArmored,Block Device,Thruster Enclosed M,スラスタM,
ThrusterGVRoundBlocks,Block Device,Thruster Blocks M,スラスタ・ブロックM,
ThrusterGVRoundNormal,Block Device,Thruster Regular M,スラスタ・レギュラー,
ThrusterGVRoundSlant,Block Device,Thruster Slant M,スラスタ・スラントM,
ThrusterJetRound1x3x1,Block Device,Thruster Jet S (1x3x1),スラスタ・ジェットS(1x3x1),
ThrusterJetRound2x5x2,Block Device,Thruster Jet M (2x5x2),スラスタ・ジェットM(2x5x2),
ThrusterJetRound3x10x3,Block Device,Thruster Jet XL (3x10x3),スラスタ・ジェットXL(3x10x3),
ThrusterJetRound3x13x3,Block Device,Thruster Jet XXL (3x13x3),スラスタ・ジェットXXL(3x13x3),
ThrusterJetRound3x7x3,Block Device,Thruster Jet L (3x7x3),スラスタ・ジェットL(3x7x3),
ThrusterMSDirectional,Block Device,Thruster S,スラスタS,
ThrusterMSRound2x2Blocks,Block Device,Thruster Blocks L,スラスタブロックL,
ThrusterMSRound3x3Blocks,Block Device,Thruster Blocks XL,スラスタブロックXL,
ThrusterMSRoundArmored,Block Device,Thruster Enclosed M,スラスタM,
ThrusterMSRoundArmored2x2,Block Device,Thruster Enclosed L,スラスタL,
ThrusterMSRoundArmored3x3,Block Device,Thruster Enclosed XL,スラスタXL,
ThrusterMSRoundBlocks,Block Device,Thruster Blocks M,スラスタ・ブロックM,
ThrusterMSRoundNormal,Block Device,Thruster Regular M,スラスタ・レギュラーM,
ThrusterMSRoundNormal2x2,Block Device,Thruster Regular L,スラスタ・レギュラーL,
ThrusterMSRoundNormal3x3,Block Device,Thruster Regular XL,スラスタ・レギュラーXL,
ThrusterMSRoundSlant,Block Device,Thruster Slant M,スラスタ・スラントM,
ThrusterMSRoundSlant2x2,Block Device,Thruster Slant L,スラスタ・スラントL,
ThrusterMSRoundSlant3x3,Block Device,Thruster Slant XL,スラスタ・スラントXL,
ThrusterSVDirectional,Block Device,Thruster S,スラスタSV,
ThrusterSVRoundArmored,Block Device,Thruster Enclosed M,強化型スラスターSV,
ThrusterSVRoundAtmo,Block Device,Thruster Long M,強化型スラスターSV,
ThrusterSVRoundBlocks,Block Device,Thruster Blocks M,スラスタ・ブロックM,
ThrusterSVRoundNormal,Block Device,Thruster Regular M,スラスター・レギュラー,
ThrusterSVRoundSlant,Block Device,Thruster Slant M,スラスター・スラント,
Trader,Block Device,Trader,トレーダ,
TradingStation,Block Device,Trading Station,トレーディング・ステーション,
TrapDoor,Block Device,Trap Door (single use),トラップドア(1回のみ使用),
TrapDoorAnim,Block Device,Trap Door (multiple use),トラップドア(複数使用),
TriggerPlate,Block Device,Trigger Plate,トリガープレート,
WarpDrive,Block Device,Warp Drive,ワープドライブ,
WarpDriveTank,Block Device,Warp Drive Tank,ワープドライブ・タンク,
WaterGenerator,Block Device,Water Generator,ウォータ生成装置,
groupBuildingBlocks,Block Group [group],Building Blocks,建設ブロック,
groupComponents,Block Group [group],Components,コンポーネント,
groupDecoBlocks,Block Group [group],Decoration Blocks,装飾ブロック,
groupDevices,Block Group [group],Devices,デバイス,
groupFood,Block Group [group],Food & Medical,食料&メディカル,
groupWeaponsItems,Block Group [group],Weapons & Items,武器&アイテム,
bkiAdrenalineShot,Block Info [bki],Stamina boost during 100 seconds. Use with LMB from toolbar or from Inventory with Shift+RMB.,100秒間のスタミナブースト。 ツールバーでLMBまたはインベントリからShift + RMBで使用します。,
bkiAlienBlock,Block Info [bki],"This block / device is alien. By placing it, you will not be able to spawn your structure in a Survival game.",このブロック/デバイスはエイリアン用です。 サバイバルゲームでこれを置いてもあなたの構造体をスポーンすることはできません。,
bkiAlienMarker2Block,Block Info [bki],This block marks the landing spot of the troop transporter on a drone base.,このブロックは、ドローンベースの部隊輸送機発着地点を示します。,
bkiAlienMarker3Block,Block Info [bki],This block marks the landing spot of the AI vessel on a drone base.,このブロックは、ドローンベースのAI機の着陸点を示します。,
bkiAlienMarkerBlock,Block Info [bki],This block marks the spawning point of drones on a drone base.,このブロックは、ドローンベースのドローンのスポーン地点を示します。,
bkiAlienPlantSprout,Block Info [bki],The delicate sprout of the alien plant will not grow anymore on terrain. You need highly fertile growing plot,この繊細な外来植物の新苗は、地形上ではもはや成長しません。非常に肥沃な農地を必要とします,
bkiAmmo,Block Info [bki],Ammunition used for reloading a weapon. Please refer to the corresponding weapon for more information.,武器をリロードするために使用する弾薬です。詳細については、対応する武器を参照してください。,
bkiAmmoFullLoad,Block Info [bki],One charge fills up whole magazine,一度にマガジンいっぱいにチャージします。,
bkiAmmoHoming,Block Info [bki],Ammunition used for reloading a weapon with homing capabilities. Please refer to the corresponding weapon for more information.,追尾能力を備えた武器の装填に使用される弾薬。 詳細は対応する武器を参照してください。,
bkiArtificialmass,Block Info [bki],Artificial Mass adds additional weight and is used to balance the Center of Mass of the vessel for improved flight and hover behavior.,マスブロックは重量を追加し、飛行の改善とホバリングの改善のために船の質量中心のバランスを取るために使用されます。,
bkiAutoMiner,Block Info [bki],"Device used for mining ore when placed on a resource deposit. To craft this device, its main component (Core) can be found in the starting equipment of your escape pod and in loot boxes of POIs",資源鉱脈に置いて鉱石を採掘します。 このデバイスを作成するのに必要な主要コンポーネント(コア)は、エスケープポッドの初期備品やPOIのアイテム箱で見つけることができます。,
bkiBandages,Block Info [bki],Restores around 45 health. Use with LMB from toolbar or from Inventory with Shift+RMB.,約45の体力を回復します。 ツールバーでLMBまたはインベントリからShift + RMBで使用します。,
bkiBlockGroup,Block Info [bki],This block represents a group of blocks. Add to toolbar and press RMB to unfold group,このブロックは、ブロックのグループを表します。ツールバーに追加し、右マウスボタンでグループを展開します,
bkiCloneChamber,Block Info [bki],Sets spawn point,スポーンポイントをセットします。,
bkiCockpit,Block Info [bki],Required on every vessel for piloting,操縦のために、すべての船舶で必要です。,
bkiColorTool,Block Info [bki],Tool used for coloring building blocks. Add to toolbar and apply color with LMB. Open color selection menu with RMB.,ブロックの色付けに使用されるツール。 ツールバーに追加し、LMBでカラーを適用します。 RMBで色選択メニューを開きます。,
bkiComponent,Block Info [bki],Intermediate product used as a component for processing into a more complex product. See templates for exact use.,中間生成物は、より複雑な製品に加工するための材料として使用します。正確な使用のためにテンプレートを参照してください。,
bkiConstructorAdvanced,Block Info [bki],"Device used for crafting. Full range of templates available, fast crafting speed.",クラフトのために使用される装置。すべてのテンプレートが作成可能、作成速度は早い。,
bkiConstructorLarge,Block Info [bki],"Device used for crafting. Almost full range of templates available, normal crafting speed",クラフトのために使用される装置。大抵のテンプレートは作成可能、作成速度は普通。,
bkiConstructorSmall,Block Info [bki],"Device used for crafting. Limited number of templates available, slow crafting speed",クラフトのために使用される装置。作成可能テンプレートは限られており、作成速度は遅い。,
bkiConstructorSurvival,Block Info [bki],"Device used for crafting. Very limited number of templates available, very slow crafting speed.",クラフトのために使用される装置。作成可能テンプレートは非常に限られ、作成速度はとても遅い。,
bkiConsumable,Block Info [bki],Consumable: Use with LMB from toolbar or from Inventory with Shift+RMB.,消耗品:ツールバーでLMBまたはインベントリからShift + RMBで使用します。,
bkiContainer,Block Info [bki],Basic storage container,標準的な保管容器,
bkiContainerAmmo,Block Info [bki],Container that stores ammo for your mounted weapons,設置された武器に弾薬を補給する為のコンテナ,
bkiContainerHarvest,Block Info [bki],Container that stores ores and wood collected with your mounted tool.,装備された収集機器で回収された鉱石や木材が保管されるコンテナ。,
bkiCore,Block Info [bki],Central processing unit required on every structure. When destroyed structure is not controllable anymore,すべての構造に必要な中央処理装置。破壊されるとあらゆる制御が出来なくなる。,
bkiCurrency,Block Info [bki],"To convert into credits, place it into the ATM deposit slot.",クレジットに変換するには、ATMデポジットスロットにクレジットを入れてください。,
bkiDecoBlock,Block Info [bki],Decorational building block,デコレーション用のビルディングブロック,
bkiDecoModel,Block Info [bki],Decorational device,デコレーション用のデバイス,
bkiDrill,Block Info [bki],Tool used for drilling holes into terrain and mining resources.,地形に穴を掘削したり、資源を採掘するためのツール。,
bkiDrillAttachment,Block Info [bki],Tool used for drilling holes into terrain and mining resources. It does not work for resource meteorites,地形や鉱山の資源に穴を開けるためのツール。 資源隕石では機能しません,
bkiDrillT2,Block Info [bki],"Tool used for drilling holes into terrain and mining resources. Major upgrade from T1 drill: automatic pickup of ores, faster drilling, larger range and different drill modes available.",穴を掘ったり資源を採掘するツール。 T1からの主なアップグレード：鉱石の自動取得、より速い採掘、より広い範囲および異なるドリルモードが利用可能。,
bkiEnergyPills,Block Info [bki],Stamina boost during 300 seconds. Some side effects and slight chance of bad trip. Use with LMB from toolbar or from Inventory with Shift+RMB.,300秒間のスタミナブースト。 一部副作用と低確率でバッドトリップ。 ツールバーでLMBまたはインベントリからShift + RMBで使用します。,
bkiEntitySpawner,Block Info [bki],Configurable spawner block for NPCs,NPC用の設定可能なスポーナーブロック,
bkiExplosives,Block Info [bki],Add to toolbar and press LMB to attach to a surface - it will explode after 8 seconds,ツールバーに追加し、LMBを押してブロック表面に取り付ける - 8秒後に爆発する,
bkiFillertool,Block Info [bki],Tool used for filling up terrain (LMB) or flattening terrain (RMB),地形を埋め(左マウスボタン)たり地形を平坦化する(右マウスボタン)ために使用されるツール,
bkiFoodProcessor,Block Info [bki],Device used for food preparation and other organic processing. Cannot auto-assemble non-organic components or intermediate materials!,調理及び他の有機処理を行う装置。無機物や中間素材の自動生成はできません。,
bkiFridge,Block Info [bki],Device used for storing food. When powered stops food from perishing,食品を保存するために使用されます。電源を入れると食品の腐敗を停止します。,
bkiFuelTank,Block Info [bki],Device used for storing fuel packs. Required for power generator,燃料パックを格納するために使用される装置。発電機のために必要,
bkiGenerator,Block Info [bki],Device used for generating power. Requires fuel tank filled with fuel packs to operate,電力を生成する装置。動作する燃料パックが充填された燃料タンクを必要とします。,
bkiGenNoFunction,Block Info [bki],This device is not functional yet,このデバイスは、まだ機能していません,
bkiGravityGenerator,Block Info [bki],Generates an artificial gravity field in space,空間に人工的な重力を発生させます。,
bkiGyroscope,Block Info [bki],Required on every vessel for turning,機体を回転させるために必要です。,
bkiGyroscopeGV,Block Info [bki],Required on every vessel for turning. Required to execute emergency flip (Left Shift) if upside down,機体を回転させるために必要です。緊急フリップ(左Shiftキー)を実行するためには逆さまに設置することが必要です。,
bkiHoverBooster,Block Info [bki],This device applies a short but strong force to allow your HV to perform a jump.,このデバイスは、HVを短いが強力な力でのジャンプ(Shift+Space)を可能にします。,
bkiHoverEngine,Block Info [bki],Hover engine applies local force to maintain HV in air. Place several engines to ensure that HV is in equilibrium. Take into account weight distribution on HV.,ホバリングエンジンは、HVを空中浮揚させるための装置。 HVが水平になるようにエンジンを設置し、 HVの重量分布を考慮する必要があります。,
bkiHull,Block Info [bki],"Standard, colourable building block",標準的な着色可能なビルディングブロック,
bkiIngredient,Block Info [bki],Intermediate product used as an ingredient for processing into a more complex product. See templates for exact use.,中間生成物は、より複雑な製品に加工するための材料として使用します。正確な使用のためにテンプレートを参照してください。,
bkiIngredientConsumable,Block Info [bki],Intermediate product used as an ingredient for processing into a more complex product. See templates for exact use. Can also be consumed with LMB from toolbar or from Inventory with Shift+RMB.,より複雑な製品に加工するための成分として使用される中間生成物。 正確な使用方法については、テンプレートを参照してください。 ツールバーのLMBやインベントリでShift + RMBでも使用できます。,
bkiInteriorBlock,Block Info [bki],Interior hull block,インテリア船体ブロック,
bkiLandinggearHV,Block Info [bki],Device used for docking your Hover Vessels to Capital Vessels,CVにあなたのHVをドッキングする際に使用するデバイスです。,
bkiLandinggearSV,Block Info [bki],Device used for docking your Small Vessels to Capital Vessels,CVにあなたのSVをドッキングする際に使用するデバイスです。,
bkiLightPlant,Block Info [bki],Required for growing plants. Max illumination range: 2 blocks,植物を成長させるために必要です。最大照明範囲:2ブロック,
bkiLightWork,Block Info [bki],Device used for external illumination,外部照明に使用されるデバイスです。,
bkiMedicinelabMS,Block Info [bki],Restores health and sets spawn point,ヘルスを回復し、スポーンポイントを設定します。,
bkiMedikit02,Block Info [bki],Restores around 75 health. Use with LMB from toolbar or from Inventory with Shift+RMB.,ヘルスを50回復します。 ツールバーからはLMB、インベントリからはShift + RMBで使用します。,
bkiMedikit03,Block Info [bki],Restores around 150 health. Use with LMB from toolbar or from Inventory with Shift+RMB.,ヘルスを100回復します。 ツールバーからはLMB、インベントリからはShift + RMBで使用します。,
bkiMultiTool,Block Info [bki],"Tool used for removing, repairing, changing, rotating and upgrading blocks",ブロックの取り外し、修理、交換、回転、およびアップグレードに使用される工具。,
bkiNightVision,Block Info [bki],Item used for seeing better during night. Can be activated by the same key that is also used for player light (toggles between player light and night vision). Item has to be in inventory and you have to wear your helmet.,暗所の見通しをよくする。 プレイヤーのライトと同じキーでアクティブにすることができます。 ヘルメットを着用し、インベントリにアイテムがなければなりません。,
bkiNotAutomaticDoor,Block Info [bki],This is a non-automatic door that opens only manually.,これは手動でのみ開く非自動ドアです。,
bkiOfflineProtect,Block Info [bki],Placing this device in a structure yields offline protection on PvP playfields.,このデバイスを構造内に設置することで、PvP プレイフィールド上のオフライン保護をもたらします。,
bkiOxygenBottleSmall,Block Info [bki],Emergency O2 bottle. Add to toolbar and use with LMB or use directly from Inventory with Shift+RMB.,緊急用O2ボトル。ツールバーで左マウスボタンで使用する。,
bkiOxygenGenerator,Block Info [bki],Converts H2O into oxygen bottles. Must be deployed in water,H2O を酸素ボトルに変換します。水の中に設置する必要があります。,
bkiOxygenGeneratorSmall,Block Info [bki],Extracts oxygen from the atmosphere to generate small oxygen bottles.,小さな酸素ボトルを生成するために大気から酸素を抽出します。,
bkiOxygenHydrogenGenerator,Block Info [bki],Converts H2O into hydrogen bottles. Must be deployed in water,H2O を水素ボトルに変換します。水の中に設置する必要があります,
bkiOxygenStation,Block Info [bki],Device used for replenishing your suit oxygen. Requires oxygen tank filled with oxygen bottles to operate,スーツの酸素を補充するために使用される装置。動作させるには酸素ボトルが詰まった酸素タンクが必要です。,
bkiOxygenTank,Block Info [bki],Device used for storing oxygen bottles. Required for oxygen station to fill up suit oxygen,酸素ボトルを格納するために使用される装置です。スーツに酸素を補充する為には酸素ステーションが必要です。,
bkiPassengerSeat,Block Info [bki],Device used for taking passengers with you,あなたと一緒に乗客を運ぶために使用される装置,
bkiPlantSprout,Block Info [bki],This delicate sprout will not grow on terrain. You need highly fertile growing plot,この繊細な苗は、地形上では成長しません。非常に肥沃な農地を必要とします,
bkiPlayerArmor,Block Info [bki],You must use the Armor Locker to change Armors,アーマーロッカーを使用してアーマーを変更する必要があります,
bkiPlayerBike,Block Info [bki],Motorbike is used for fast travelling on a planet. Important: You should always pick it up after usage because it will fold into an energy-save mode after 5min and despawn after 25min if it is not used.,バイクは惑星での高速走行に使用されます。 重要:5分後に省エネモードに移行し、使用しない場合は25分後に消滅するため、使用後は回収すること,
bkiRotateBlocks,Block Info [bki],"Tool used for changing transparency of some windows (LMB) and rotation of building blocks & small devices of size 1x1 (Insert, Del, Home and End).",いくつかのウィンドウの透明度(LMB)と、ビルディングブロックと1x1サイズの小型デバイス(Insert、Del、Home、End)の回転を変更するために使用されるツール。,
bkiSpawnNewBase,Block Info [bki],Starter block for your base (BA). Add to toolbar and place with LMB,base(BA)のためのスターターブロック。ツールバーに追加し左マウスボタンで設置。,
bkiSpawnNewCV,Block Info [bki],Starter block for your capital vessel (CV). Add to toolbar and place with LMB,capital vessel (CV)のためのスターターブロック。ツールバーに追加し左マウスボタンで設置。,
bkiSpawnNewGV,Block Info [bki],Starter block for your hover vessel (HV). Add to toolbar and place with LMB,hover vessel (HV)のためのスターターブロック。ツールバーに追加し左マウスボタンで設置。,
bkiSpawnNewSV,Block Info [bki],Starter block for your small vessel (SV). Add to toolbar and place with LMB,small vessel(SV)のためのスターターブロック。ツールバーに追加し左マウスボタンで設置。,
bkiSpotlight,Block Info [bki],Strong light source for external illumination,外部照明のための強力な光源,
bkiTextureTool,Block Info [bki],Tool used for texturing building blocks. Add to toolbar and apply texture with LMB. Open texture selection menu with RMB.,ビルディングブロックのテクスチャリングに使用されるツール。 ツールバーに追加し、LMBでテクスチャを適用します。 RMBでテクスチャ選択メニューを開きます。,
bkiThruster,Block Info [bki],Main thruster unit for main propulsion,主推進のためのメインスラスターユニット,
bkiThrusterDirectional,Block Info [bki],Smaller thruster unit for secondary propulsion,二次推進のための小さいスラスターユニット,
bkiTraderBlock,Block Info [bki],Placeholder block for trader NPC. Configure the trader in Creative mode via Control Panel and it will spawn in Survival mode as configured.,トレーダーNPCのプレースホルダーブロック。 コントロールパネルからトレーダーをクリエイティブモードで設定すると、サバイバルモードで設定された状態でスポーンされます。,
bkiTruss,Block Info [bki],Light building block,光ビルディングブロック,
bkiTurret,Block Info [bki],Auto aiming or manual turret. Range given for space. On planets range is lower and depends on atmosphere density,自動照準及び手動照準が可能な兵装。射距離は宇宙空間での数値。惑星上では大気密度に応じて射距離が低下します。,
bkiTurretSpace,Block Info [bki],Auto aiming or manual turret and only functional in space.,宇宙空間でしか動作しない自動照準及び手動照準が可能な兵装。,
bkiVentilator,Block Info [bki],"Device used for oxygenating your structure. Needs oxygen tank to operate. IMPORTANT: If you deactivate a ventilator manually, oxygen will be lost.",構造体を酸素で満たすために使用されるデバイス。 酸素タンクが必要です。 重要:手動で無効にすると、ただちに酸素が失われます。,
bkiWallBlock,Block Info [bki],Thin interior building block,薄いインテリアビルディングブロック,
bkiWallCorner,Block Info [bki],L-shaped interior building block,L字型の内部ビルディングブロック,
bkiWarpDriveTank,Block Info [bki],Crystals used for warp jump. Fill warp drive tank with these crystals to power your warp drive.,ワープジャンプに使用するクリスタル。ワープドライブに電力を供給するためには、これらのクリスタルでワープドライブタンクを埋めます。,
bkiWaterGenerator,Block Info [bki],Creates purified water from natural water sources. Must be deployed in water,天然の水源から精製水を作成します。水源に接して設置する必要があります,
bkiWeaponShip,Block Info [bki],Attachable to your vessel. Range given for space. On planets range is lower and depends on atmosphere density,機体に設置できます。射距離は宇宙空間での数値です。惑星上では大気密度に応じて射距離が低下します。,
bkiWeaponShipSpace,Block Info [bki],Attachable to your vessel but only functional in space.,機体に取り付けることができますが、宇宙でのみ機能します。,
bkiWindowNoShutterSemiTrans,Block Info [bki],Basic window without shutter. Semi-transparent from inside and outside,シャッターのない基本的なウィンドウ。内側と外側から半透明,
bkiWindowShutterNonTrans,Block Info [bki],"Basic window with shutter. Fully transparent from inside, non-transparent from outside",シャッターを使用した基本的なウィンドウ。内側からは透明、外側からは非透明。,
bkiWindowShutterTrans,Block Info [bki],Basic window with shutter. Fully transparent from inside and outside,シャッターを使用した基本的なウィンドウ。内側と外側から完全に透明,
bkiZiraxSpawner,Block Info [bki],"Spawns: Zirax Minigun, Zirax Laser, Zirax Shotgun",スポーン:Ziraxミニガン、Ziraxレーザー、Ziraxショットガン,
rdlChangeRotate,Block Info [radial],Change and Rotate,透明度とブロックの回転,
rdlChangeRotateTxt,Block Info [radial],Used for changing transparency of some windows (LMB) and rotation of building blocks and small devices of size 1x1 (Insert/Delete/Home/End),窓の透明度の変更(LMB)とサイズ1x1のブロックを回転(Insert/Delete/Home/End)させることができる,
rdlDeconstruct,Block Info [radial],Deconstruct,解体,
rdlDeconstructTxt,Block Info [radial],Deconstructing own and public structures. Will always return components.,自分の所有する構造物、又は所有者のいない構造物を破壊又は対象を構成していた物質を手に入れられる,
rdlDisassemble,Block Info [radial],Disassemble,回収,
rdlDisassembleTxt,Block Info [radial],Returns intact blocks for own structures. Has a chance of returning intact blocks on public structures.,自分が所有する構造体からブロックを回収する。パブリック設定のブロックもある程度の確率でそのまま回収できる。,
rdlFiller,Block Info [radial],Filler,フィラー,
rdlFillerTxt,Block Info [radial],Used for filling holes and adding terrain,穴埋めや地形の追加に使用,
rdlFlattening,Block Info [radial],Flattening,平坦化,
rdlFlatteningTxt,Block Info [radial],Used for flattening terrain. Using this mode does not mine ores,地形の平坦化に使用されます。 このモードを使用しても鉱石は採掘できません,
rdlRepair,Block Info [radial],Repair,修復,
